"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"AV_block",NA,"Normal",38259,"96.3%",0.13,0.146
"AV_block_II_or_III","No","Normal",1477,"3.7%",0.839,0.839
"AV_block_II_or_III","Yes","Normal",4,"0.0%",0.839,0.839
"AV_block_II_or_III",NA,"Normal",38261,"96.3%",0.839,0.839
"Alcohol","No","Normal",433,"1.1%",0.00104,0.00138
"Alcohol","Yes","Normal",727,"1.8%",0.00104,0.00138
"Alcohol",NA,"Normal",38582,"97.1%",0.00104,0.00138
"Aldosterone_antagonist","No","Normal",19877,"50.0%",3.46e-15,6.79e-15
"Aldosterone_antagonist","Yes","Normal",1488,"3.7%",3.46e-15,6.79e-15
"Aldosterone_antagonist",NA,"Normal",18377,"46.2%",3.46e-15,6.79e-15
"Anti_anginal","No","Normal",32459,"81.7%",1.61e-09,2.75e-09
"Anti_anginal","Yes","Normal",4520,"11.4%",1.61e-09,2.75e-09
"Anti_anginal",NA,"Normal",2763,"7.0%",1.61e-09,2.75e-09
"Anti_arrhythmic_III","No","Normal",3428,"8.6%",0.05,0.0616
"Anti_arrhythmic_III","Yes","Normal",157,"0.4%",0.05,0.0616
"Anti_arrhythmic_III",NA,"Normal",36157,"91.0%",0.05,0.0616
"Anti_coagulant","No","Normal",33523,"84.4%",1.13e-06,1.66e-06
"Anti_coagulant","Yes","Normal",3542,"8.9%",1.13e-06,1.66e-06
"Anti_coagulant",NA,"Normal",2677,"6.7%",1.13e-06,1.66e-06
"Anti_diabetic","No","Normal",35020,"88.1%",0,0
"Anti_diabetic","Yes","Normal",3951,"9.9%",0,0
"Anti_diabetic",NA,"Normal",771,"1.9%",0,0
"Anti_diabetic_insulin","No","Normal",36793,"92.6%",0,0
"Anti_diabetic_insulin","Yes","Normal",2208,"5.6%",0,0
"Anti_diabetic_insulin",NA,"Normal",741,"1.9%",0,0
"Anti_diabetic_oral","No","Normal",36687,"92.3%",0,0
"Anti_diabetic_oral","Yes","Normal",2293,"5.8%",0,0
"Anti_diabetic_oral",NA,"Normal",762,"1.9%",0,0
"Anti_platelet","No","Normal",1793,"4.5%",2.75e-28,6.63e-28
"Anti_platelet","Yes","Normal",36921,"92.9%",2.75e-28,6.63e-28
"Anti_platelet",NA,"Normal",1028,"2.6%",2.75e-28,6.63e-28
"Baseline_type","MI","Normal",37011,"93.1%",0,0
"Baseline_type","MI40d","Normal",1582,"4.0%",0,0
"Baseline_type",NA,"Normal",1149,"2.9%",0,0
"Beta_blockers","No","Normal",4958,"12.5%",2.61e-34,6.92e-34
"Beta_blockers","Yes","Normal",34675,"87.3%",2.61e-34,6.92e-34
"Beta_blockers",NA,"Normal",109,"0.3%",2.61e-34,6.92e-34
"CABG","No","Normal",34936,"87.9%",3.76e-34,9.5e-34
"CABG","Yes","Normal",2820,"7.1%",3.76e-34,9.5e-34
"CABG",NA,"Normal",1986,"5.0%",3.76e-34,9.5e-34
"CABG_acute","No","Normal",23746,"59.8%",0.676,0.703
"CABG_acute","Yes","Normal",156,"0.4%",0.676,0.703
"CABG_acute",NA,"Normal",15840,"39.9%",0.676,0.703
"COPD","No","Normal",3057,"7.7%",1.54e-14,2.92e-14
"COPD","Yes","Normal",289,"0.7%",1.54e-14,2.92e-14
"COPD",NA,"Normal",36396,"91.6%",1.54e-14,2.92e-14
"CVD_risk_region","1","Normal",384,"1.0%",1.05e-292,6.96e-292
"CVD_risk_region","2","Normal",36456,"91.7%",1.05e-292,6.96e-292
"CVD_risk_region","3","Normal",2678,"6.7%",1.05e-292,6.96e-292
"CVD_risk_region","4","Normal",224,"0.6%",1.05e-292,6.96e-292
"Calcium_antagonists","No","Normal",32238,"81.1%",9.66e-149,3.41e-148
"Calcium_antagonists","Yes","Normal",4770,"12.0%",9.66e-149,3.41e-148
"Calcium_antagonists",NA,"Normal",2734,"6.9%",9.66e-149,3.41e-148
"Cancer","No","Normal",150,"0.4%",0.612,0.662
"Cancer","Yes","Normal",2,"0.0%",0.612,0.662
"Cancer",NA,"Normal",39590,"99.6%",0.612,0.662
"Diabetes","No","Normal",33831,"85.1%",0,0
"Diabetes","Yes","Normal",5784,"14.6%",0,0
"Diabetes",NA,"Normal",127,"0.3%",0,0
"Digitalis_glycosides","No","Normal",36979,"93.0%",9.89e-19,2.02e-18
"Digitalis_glycosides","Yes","Normal",847,"2.1%",9.89e-19,2.02e-18
"Digitalis_glycosides",NA,"Normal",1916,"4.8%",9.89e-19,2.02e-18
"Diseased_arteries_num_cat","0","Normal",148,"0.4%",0.000863,0.00117
"Diseased_arteries_num_cat","1","Normal",452,"1.1%",0.000863,0.00117
"Diseased_arteries_num_cat","2","Normal",333,"0.8%",0.000863,0.00117
"Diseased_arteries_num_cat","geq3","Normal",447,"1.1%",0.000863,0.00117
"Diseased_arteries_num_cat",NA,"Normal",38362,"96.5%",0.000863,0.00117
"Diuretics","No","Normal",29329,"73.8%",1.46e-247,8.59999999999999e-247
"Diuretics","Yes","Normal",10251,"25.8%",1.46e-247,8.59999999999999e-247
"Diuretics",NA,"Normal",162,"0.4%",1.46e-247,8.59999999999999e-247
"FH_CAD","No","Normal",679,"1.7%",1.05e-09,1.86e-09
"FH_CAD","Yes","Normal",522,"1.3%",1.05e-09,1.86e-09
"FH_CAD",NA,"Normal",38541,"97.0%",1.05e-09,1.86e-09
"FH_SCD","No","Normal",752,"1.9%",0.0195,0.0252
"FH_SCD","Yes","Normal",228,"0.6%",0.0195,0.0252
"FH_SCD",NA,"Normal",38762,"97.5%",0.0195,0.0252
"HF","No","Normal",32946,"82.9%",1.47e-26,3.4e-26
"HF","Yes","Normal",2421,"6.1%",1.47e-26,3.4e-26
"HF",NA,"Normal",4375,"11.0%",1.47e-26,3.4e-26
"HasMRI","No","Normal",39283,"98.8%",9.24e-06,1.32e-05
"HasMRI","Yes","Normal",459,"1.2%",9.24e-06,1.32e-05
"Hypertension","No","Normal",21455,"54.0%",0,0
"Hypertension","Yes","Normal",17310,"43.6%",0,0
"Hypertension",NA,"Normal",977,"2.5%",0,0
"IsSWHR","0","Normal",2678,"6.7%",4.11e-207,1.98e-206
"IsSWHR","1","Normal",35915,"90.4%",4.11e-207,1.98e-206
"IsSWHR",NA,"Normal",1149,"2.9%",4.11e-207,1.98e-206
"LBBB","No","Normal",35498,"89.3%",1.52e-05,2.11e-05
"LBBB","Yes","Normal",2041,"5.1%",1.52e-05,2.11e-05
"LBBB",NA,"Normal",2203,"5.5%",1.52e-05,2.11e-05
"Lipid_lowering","No","Normal",4520,"11.4%",3.26e-240,1.73e-239
"Lipid_lowering","Yes","Normal",35039,"88.2%",3.26e-240,1.73e-239
"Lipid_lowering",NA,"Normal",183,"0.5%",3.26e-240,1.73e-239
"MI_history","No","Normal",30173,"75.9%",3.41e-07,5.32e-07
"MI_history","Yes","Normal",6764,"17.0%",3.41e-07,5.32e-07
"MI_history",NA,"Normal",2805,"7.1%",3.41e-07,5.32e-07
"MI_location_anterior","No","Normal",1297,"3.3%",5.42e-07,8.2e-07
"MI_location_anterior","Yes","Normal",902,"2.3%",5.42e-07,8.2e-07
"MI_location_anterior",NA,"Normal",37543,"94.5%",5.42e-07,8.2e-07
"MI_location_inferior","No","Normal",1267,"3.2%",0.0649,0.0764
"MI_location_inferior","Yes","Normal",932,"2.3%",0.0649,0.0764
"MI_location_inferior",NA,"Normal",37543,"94.5%",0.0649,0.0764
"MI_location_lateral","No","Normal",1836,"4.6%",0.639,0.678
"MI_location_lateral","Yes","Normal",243,"0.6%",0.639,0.678
"MI_location_lateral",NA,"Normal",37663,"94.8%",0.639,0.678
"MI_location_posterior","No","Normal",997,"2.5%",0.0247,0.0311
"MI_location_posterior","Yes","Normal",39,"0.1%",0.0247,0.0311
"MI_location_posterior",NA,"Normal",38706,"97.4%",0.0247,0.0311
"MI_type","NSTEMI","Normal",24509,"61.7%",1.71e-19,3.63e-19
"MI_type","STEMI","Normal",11539,"29.0%",1.71e-19,3.63e-19
"MI_type",NA,"Normal",3694,"9.3%",1.71e-19,3.63e-19
"MR","Moderate","Normal",100,"0.3%",0.0886,0.102
"MR","None or mild","Normal",567,"1.4%",0.0886,0.102
"MR","Severe","Normal",24,"0.1%",0.0886,0.102
"MR",NA,"Normal",39051,"98.3%",0.0886,0.102
"NSVT","No","Normal",182,"0.5%",0.0609,0.0733
"NSVT","Yes","Normal",42,"0.1%",0.0609,0.0733
"NSVT",NA,"Normal",39518,"99.4%",0.0609,0.0733
"NYHA","I","Normal",1343,"3.4%",2.21e-07,3.55e-07
"NYHA","II","Normal",865,"2.2%",2.21e-07,3.55e-07
"NYHA","III","Normal",404,"1.0%",2.21e-07,3.55e-07
"NYHA","IV","Normal",58,"0.1%",2.21e-07,3.55e-07
"NYHA",NA,"Normal",37072,"93.3%",2.21e-07,3.55e-07
"PCI","No","Normal",32280,"81.2%",1.74e-175,7.08e-175
"PCI","Yes","Normal",5001,"12.6%",1.74e-175,7.08e-175
"PCI",NA,"Normal",2461,"6.2%",1.74e-175,7.08e-175
"PCI_acute","No","Normal",24563,"61.8%",8.41e-41,2.34e-40
"PCI_acute","Yes","Normal",12533,"31.5%",8.41e-41,2.34e-40
"PCI_acute",NA,"Normal",2646,"6.7%",8.41e-41,2.34e-40
"RBBB","No","Normal",35198,"88.6%",0.808,0.823
"RBBB","Yes","Normal",1607,"4.0%",0.808,0.823
"RBBB",NA,"Normal",2937,"7.4%",0.808,0.823
"Revascularisation_acute","No","Normal",23937,"60.2%",4.27e-43,1.26e-42
"Revascularisation_acute","Yes","Normal",13159,"33.1%",4.27e-43,1.26e-42
"Revascularisation_acute",NA,"Normal",2646,"6.7%",4.27e-43,1.26e-42
"Sex","Female","Normal",14206,"35.7%",0,0
"Sex","Male","Normal",25535,"64.3%",0,0
"Sex",NA,"Normal",1,"0.0%",0,0
"Smoking","No","Normal",16057,"40.4%",4.99e-66,1.65e-65
"Smoking","Yes","Normal",21473,"54.0%",4.99e-66,1.65e-65
"Smoking",NA,"Normal",2212,"5.6%",4.99e-66,1.65e-65
"Stroke_TIA","No","Normal",34473,"86.7%",2.99e-12,5.46e-12
"Stroke_TIA","Yes","Normal",2822,"7.1%",2.99e-12,5.46e-12
"Stroke_TIA",NA,"Normal",2447,"6.2%",2.99e-12,5.46e-12
"Thrombolysis_acute","No","Normal",36474,"91.8%",0.546,0.603
"Thrombolysis_acute","Yes","Normal",489,"1.2%",0.546,0.603
"Thrombolysis_acute",NA,"Normal",2779,"7.0%",0.546,0.603
"Time_zero_Y","1994","Normal",1,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","1995","Normal",61,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","1996","Normal",83,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","1997","Normal",159,"0.4%",3.2e-44,9.97e-44
"Time_zero_Y","1998","Normal",225,"0.6%",3.2e-44,9.97e-44
"Time_zero_Y","1999","Normal",225,"0.6%",3.2e-44,9.97e-44
"Time_zero_Y","2000","Normal",191,"0.5%",3.2e-44,9.97e-44
"Time_zero_Y","2001","Normal",177,"0.4%",3.2e-44,9.97e-44
"Time_zero_Y","2002","Normal",107,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","2003","Normal",89,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","2004","Normal",42,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2005","Normal",29,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2006","Normal",2087,"5.3%",3.2e-44,9.97e-44
"Time_zero_Y","2007","Normal",2593,"6.5%",3.2e-44,9.97e-44
"Time_zero_Y","2008","Normal",2718,"6.8%",3.2e-44,9.97e-44
"Time_zero_Y","2009","Normal",2666,"6.7%",3.2e-44,9.97e-44
"Time_zero_Y","2010","Normal",3473,"8.7%",3.2e-44,9.97e-44
"Time_zero_Y","2011","Normal",3673,"9.2%",3.2e-44,9.97e-44
"Time_zero_Y","2012","Normal",3897,"9.8%",3.2e-44,9.97e-44
"Time_zero_Y","2013","Normal",3636,"9.1%",3.2e-44,9.97e-44
"Time_zero_Y","2014","Normal",3422,"8.6%",3.2e-44,9.97e-44
"Time_zero_Y","2015","Normal",3459,"8.7%",3.2e-44,9.97e-44
"Time_zero_Y","2016","Normal",3383,"8.5%",3.2e-44,9.97e-44
"Time_zero_Y","2017","Normal",3320,"8.4%",3.2e-44,9.97e-44
"Time_zero_Y","2018","Normal",14,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","2019","Normal",11,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","2020","Normal",1,"0.0%",3.2e-44,9.97e-44
"Time_zero_Ym","1994-12-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","1995-01-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","1995-02-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","1995-03-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","1995-05-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","1995-06-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","1995-07-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","1995-08-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","1995-09-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1995-10-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","1995-11-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","1995-12-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","1996-01-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","1996-02-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","1996-03-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","1996-04-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","1996-05-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","1996-06-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","1996-07-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","1996-08-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","1996-09-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1996-10-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","1996-11-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1996-12-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","1997-01-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","1997-02-01","Normal",17,"0.0%",NA,NA
"Time_zero_Ym","1997-03-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","1997-04-01","Normal",13,"0.0%",NA,NA
"Time_zero_Ym","1997-05-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1997-06-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","1997-07-01","Normal",17,"0.0%",NA,NA
"Time_zero_Ym","1997-08-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1997-09-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1997-10-01","Normal",16,"0.0%",NA,NA
"Time_zero_Ym","1997-11-01","Normal",13,"0.0%",NA,NA
"Time_zero_Ym","1997-12-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1998-01-01","Normal",14,"0.0%",NA,NA
"Time_zero_Ym","1998-02-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1998-03-01","Normal",13,"0.0%",NA,NA
"Time_zero_Ym","1998-04-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1998-05-01","Normal",17,"0.0%",NA,NA
"Time_zero_Ym","1998-06-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1998-07-01","Normal",81,"0.2%",NA,NA
"Time_zero_Ym","1998-08-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1998-09-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1998-10-01","Normal",16,"0.0%",NA,NA
"Time_zero_Ym","1998-11-01","Normal",14,"0.0%",NA,NA
"Time_zero_Ym","1998-12-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","1999-01-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1999-02-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1999-03-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1999-04-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","1999-05-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","1999-06-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","1999-07-01","Normal",82,"0.2%",NA,NA
"Time_zero_Ym","1999-08-01","Normal",16,"0.0%",NA,NA
"Time_zero_Ym","1999-09-01","Normal",19,"0.0%",NA,NA
"Time_zero_Ym","1999-10-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","1999-11-01","Normal",13,"0.0%",NA,NA
"Time_zero_Ym","1999-12-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","2000-01-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","2000-02-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2000-03-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","2000-04-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2000-05-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","2000-06-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2000-07-01","Normal",90,"0.2%",NA,NA
"Time_zero_Ym","2000-08-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2000-09-01","Normal",11,"0.0%",NA,NA
"Time_zero_Ym","2000-10-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2000-11-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2000-12-01","Normal",15,"0.0%",NA,NA
"Time_zero_Ym","2001-01-01","Normal",14,"0.0%",NA,NA
"Time_zero_Ym","2001-02-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2001-03-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2001-04-01","Normal",14,"0.0%",NA,NA
"Time_zero_Ym","2001-05-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","2001-06-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","2001-07-01","Normal",65,"0.2%",NA,NA
"Time_zero_Ym","2001-08-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2001-09-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2001-10-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2001-11-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2001-12-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2002-01-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2002-02-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2002-03-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2002-04-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2002-05-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2002-06-01","Normal",14,"0.0%",NA,NA
"Time_zero_Ym","2002-07-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2002-08-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2002-09-01","Normal",12,"0.0%",NA,NA
"Time_zero_Ym","2002-10-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2002-11-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2002-12-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","2003-01-01","Normal",9,"0.0%",NA,NA
"Time_zero_Ym","2003-02-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2003-03-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","2003-04-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","2003-05-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2003-06-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","2003-07-01","Normal",7,"0.0%",NA,NA
"Time_zero_Ym","2003-08-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2003-09-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","2003-10-01","Normal",10,"0.0%",NA,NA
"Time_zero_Ym","2003-11-01","Normal",13,"0.0%",NA,NA
"Time_zero_Ym","2003-12-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2004-01-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2004-02-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","2004-03-01","Normal",8,"0.0%",NA,NA
"Time_zero_Ym","2004-04-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2004-05-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2004-06-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","2004-07-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","2004-08-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2004-09-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","2004-10-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2004-11-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2004-12-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2005-01-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2005-02-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2005-03-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2005-04-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2005-05-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2005-06-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2005-07-01","Normal",5,"0.0%",NA,NA
"Time_zero_Ym","2005-08-01","Normal",3,"0.0%",NA,NA
"Time_zero_Ym","2005-09-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2005-10-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2005-12-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2006-01-01","Normal",6,"0.0%",NA,NA
"Time_zero_Ym","2006-02-01","Normal",143,"0.4%",NA,NA
"Time_zero_Ym","2006-03-01","Normal",195,"0.5%",NA,NA
"Time_zero_Ym","2006-04-01","Normal",137,"0.3%",NA,NA
"Time_zero_Ym","2006-05-01","Normal",165,"0.4%",NA,NA
"Time_zero_Ym","2006-06-01","Normal",195,"0.5%",NA,NA
"Time_zero_Ym","2006-06-16","Normal",38,"0.1%",NA,NA
"Time_zero_Ym","2006-07-01","Normal",187,"0.5%",NA,NA
"Time_zero_Ym","2006-08-01","Normal",161,"0.4%",NA,NA
"Time_zero_Ym","2006-09-01","Normal",172,"0.4%",NA,NA
"Time_zero_Ym","2006-10-01","Normal",194,"0.5%",NA,NA
"Time_zero_Ym","2006-11-01","Normal",207,"0.5%",NA,NA
"Time_zero_Ym","2006-11-16","Normal",73,"0.2%",NA,NA
"Time_zero_Ym","2006-12-01","Normal",214,"0.5%",NA,NA
"Time_zero_Ym","2007-01-01","Normal",207,"0.5%",NA,NA
"Time_zero_Ym","2007-02-01","Normal",194,"0.5%",NA,NA
"Time_zero_Ym","2007-03-01","Normal",230,"0.6%",NA,NA
"Time_zero_Ym","2007-04-01","Normal",219,"0.6%",NA,NA
"Time_zero_Ym","2007-05-01","Normal",231,"0.6%",NA,NA
"Time_zero_Ym","2007-06-01","Normal",209,"0.5%",NA,NA
"Time_zero_Ym","2007-07-01","Normal",213,"0.5%",NA,NA
"Time_zero_Ym","2007-08-01","Normal",196,"0.5%",NA,NA
"Time_zero_Ym","2007-09-01","Normal",209,"0.5%",NA,NA
"Time_zero_Ym","2007-10-01","Normal",219,"0.6%",NA,NA
"Time_zero_Ym","2007-11-01","Normal",219,"0.6%",NA,NA
"Time_zero_Ym","2007-12-01","Normal",247,"0.6%",NA,NA
"Time_zero_Ym","2008-01-01","Normal",239,"0.6%",NA,NA
"Time_zero_Ym","2008-02-01","Normal",220,"0.6%",NA,NA
"Time_zero_Ym","2008-03-01","Normal",266,"0.7%",NA,NA
"Time_zero_Ym","2008-04-01","Normal",232,"0.6%",NA,NA
"Time_zero_Ym","2008-05-01","Normal",206,"0.5%",NA,NA
"Time_zero_Ym","2008-06-01","Normal",236,"0.6%",NA,NA
"Time_zero_Ym","2008-07-01","Normal",192,"0.5%",NA,NA
"Time_zero_Ym","2008-08-01","Normal",213,"0.5%",NA,NA
"Time_zero_Ym","2008-09-01","Normal",202,"0.5%",NA,NA
"Time_zero_Ym","2008-10-01","Normal",239,"0.6%",NA,NA
"Time_zero_Ym","2008-11-01","Normal",236,"0.6%",NA,NA
"Time_zero_Ym","2008-12-01","Normal",237,"0.6%",NA,NA
"Time_zero_Ym","2009-01-01","Normal",214,"0.5%",NA,NA
"Time_zero_Ym","2009-02-01","Normal",214,"0.5%",NA,NA
"Time_zero_Ym","2009-03-01","Normal",236,"0.6%",NA,NA
"Time_zero_Ym","2009-04-01","Normal",202,"0.5%",NA,NA
"Time_zero_Ym","2009-05-01","Normal",245,"0.6%",NA,NA
"Time_zero_Ym","2009-06-01","Normal",240,"0.6%",NA,NA
"Time_zero_Ym","2009-07-01","Normal",243,"0.6%",NA,NA
"Time_zero_Ym","2009-08-01","Normal",191,"0.5%",NA,NA
"Time_zero_Ym","2009-09-01","Normal",192,"0.5%",NA,NA
"Time_zero_Ym","2009-10-01","Normal",203,"0.5%",NA,NA
"Time_zero_Ym","2009-11-01","Normal",234,"0.6%",NA,NA
"Time_zero_Ym","2009-12-01","Normal",252,"0.6%",NA,NA
"Time_zero_Ym","2010-01-01","Normal",271,"0.7%",NA,NA
"Time_zero_Ym","2010-02-01","Normal",249,"0.6%",NA,NA
"Time_zero_Ym","2010-03-01","Normal",281,"0.7%",NA,NA
"Time_zero_Ym","2010-04-01","Normal",281,"0.7%",NA,NA
"Time_zero_Ym","2010-04-17","Normal",257,"0.6%",NA,NA
"Time_zero_Ym","2010-05-01","Normal",254,"0.6%",NA,NA
"Time_zero_Ym","2010-06-01","Normal",302,"0.8%",NA,NA
"Time_zero_Ym","2010-07-01","Normal",325,"0.8%",NA,NA
"Time_zero_Ym","2010-08-01","Normal",210,"0.5%",NA,NA
"Time_zero_Ym","2010-09-01","Normal",244,"0.6%",NA,NA
"Time_zero_Ym","2010-10-01","Normal",263,"0.7%",NA,NA
"Time_zero_Ym","2010-11-01","Normal",282,"0.7%",NA,NA
"Time_zero_Ym","2010-12-01","Normal",254,"0.6%",NA,NA
"Time_zero_Ym","2011-01-01","Normal",314,"0.8%",NA,NA
"Time_zero_Ym","2011-02-01","Normal",253,"0.6%",NA,NA
"Time_zero_Ym","2011-03-01","Normal",271,"0.7%",NA,NA
"Time_zero_Ym","2011-04-01","Normal",257,"0.6%",NA,NA
"Time_zero_Ym","2011-05-01","Normal",271,"0.7%",NA,NA
"Time_zero_Ym","2011-06-01","Normal",573,"1.4%",NA,NA
"Time_zero_Ym","2011-07-01","Normal",333,"0.8%",NA,NA
"Time_zero_Ym","2011-08-01","Normal",260,"0.7%",NA,NA
"Time_zero_Ym","2011-09-01","Normal",250,"0.6%",NA,NA
"Time_zero_Ym","2011-10-01","Normal",294,"0.7%",NA,NA
"Time_zero_Ym","2011-11-01","Normal",311,"0.8%",NA,NA
"Time_zero_Ym","2011-12-01","Normal",286,"0.7%",NA,NA
"Time_zero_Ym","2012-01-01","Normal",306,"0.8%",NA,NA
"Time_zero_Ym","2012-02-01","Normal",273,"0.7%",NA,NA
"Time_zero_Ym","2012-03-01","Normal",269,"0.7%",NA,NA
"Time_zero_Ym","2012-04-01","Normal",317,"0.8%",NA,NA
"Time_zero_Ym","2012-05-01","Normal",303,"0.8%",NA,NA
"Time_zero_Ym","2012-06-01","Normal",646,"1.6%",NA,NA
